Title,Genre,Release_Date
The Godfather,"Crime, Drama",(1972)
The Shawshank Redemption,Drama,(1994)
Schindler's List,"Biography, Drama, History",(1993)
Raging Bull,"Biography, Drama, Sport",(1980)
Casablanca,"Drama, Romance, War",(1942)
Citizen Kane,"Drama, Mystery",(1941)
Gone with the Wind,"Drama, Romance, War",(1939)
The Wizard of Oz,"Adventure, Family, Fantasy",(1939)
One Flew Over the Cuckoo's Nest,Drama,(1975)
Lawrence of Arabia,"Adventure, Biography, Drama",(1962)
Vertigo,"Mystery, Romance, Thriller",(1958)
Psycho,"Horror, Mystery, Thriller",(1960)
The Godfather Part II,"Crime, Drama",(1974)
On the Waterfront,"Crime, Drama, Thriller",(1954)
Sunset Blvd.,"Drama, Film-Noir",(1950)
Forrest Gump,"Drama, Romance",(1994)
The Sound of Music,"Biography, Drama, Family",(1965)
12 Angry Men,"Crime, Drama",(1957)
West Side Story,"Crime, Drama, Musical",(1961)
Star Wars,"Action, Adventure, Fantasy",(1977)
2001: A Space Odyssey,"Adventure, Sci-Fi",(1968)
E.T.,"Adventure, Family, Sci-Fi",(1982)
The Silence of the Lambs,"Crime, Drama, Thriller",(1991)
Chinatown,"Drama, Mystery, Thriller",(1974)
The Bridge on the River Kwai,"Adventure, Drama, War",(1957)
Singin' in the Rain,"Comedy, Musical, Romance",(1952)
It's a Wonderful Life,"Drama, Family, Fantasy",(1946)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",(1964)
Some Like It Hot,"Comedy, Music, Romance",(1959)
Ben-Hur,"Adventure, Drama",(1959)
Apocalypse Now,"Drama, Mystery, War",(1979)
Amadeus,"Biography, Drama, Music",(1984)
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",(2003)
Gladiator,"Action, Adventure, Drama",(2000)
Titanic,"Drama, Romance",(1997)
From Here to Eternity,"Drama, Romance, War",(1953)
Saving Private Ryan,"Drama, War",(1998)
Unforgiven,"Drama, Western",(1992)
Raiders of the Lost Ark,"Action, Adventure",(1981)
Rocky,"Drama, Sport",(1976)
A Streetcar Named Desire,Drama,(1951)
The Philadelphia Story,"Comedy, Romance",(1940)
To Kill a Mockingbird,"Crime, Drama",(1962)
An American in Paris,"Drama, Musical, Romance",(1951)
The Best Years of Our Lives,"Drama, Romance, War",(1946)
My Fair Lady,"Drama, Family, Musical",(1964)
A Clockwork Orange,"Crime, Sci-Fi",(1971)
Doctor Zhivago,"Drama, Romance, War",(1965)
The Searchers,"Adventure, Drama, Western",(1956)
Jaws,"Adventure, Thriller",(1975)
Patton,"Biography, Drama, War",(1970)
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",(1969)
The Treasure of the Sierra Madre,"Adventure, Drama, Western",(1948)
"The Good, the Bad and the Ugly","Adventure, Western",(1966)
The Apartment,"Comedy, Drama, Romance",(1960)
Platoon,"Drama, War",(1986)
High Noon,"Drama, Thriller, Western",(1952)
Braveheart,"Biography, Drama, History",(1995)
Dances with Wolves,"Adventure, Drama, Western",(1990)
Jurassic Park,"Action, Adventure, Sci-Fi",(1993)
The Exorcist,Horror,(1973)
The Pianist,"Biography, Drama, Music",(2002)
Goodfellas,"Biography, Crime, Drama",(1990)
The Deer Hunter,"Drama, War",(1978)
All Quiet on the Western Front,"Drama, War",(1930)
Bonnie and Clyde,"Action, Biography, Crime",(1967)
The French Connection,"Action, Crime, Drama",(1971)
City Lights,"Comedy, Drama, Romance",(1931)
It Happened One Night,"Comedy, Romance",(1934)
A Place in the Sun,"Drama, Romance",(1951)
Midnight Cowboy,Drama,(1969)
Mr. Smith Goes to Washington,"Comedy, Drama",(1939)
Rain Man,Drama,(1988)
Annie Hall,"Comedy, Romance",(1977)
Fargo,"Crime, Thriller",(1996)
Giant,"Drama, Western",(1956)
Shane,"Drama, Western",(1953)
The Grapes of Wrath,Drama,(1940)
The Green Mile,"Crime, Drama, Fantasy",(1999)
Close Encounters of the Third Kind,"Drama, Sci-Fi",(1977)
Nashville,"Comedy, Drama, Music",(1975)
Network,Drama,(1976)
The Graduate,"Comedy, Drama, Romance",(1967)
American Graffiti,"Comedy, Drama",(1973)
Pulp Fiction,"Crime, Drama",(1994)
Terms of Endearment,"Comedy, Drama",(1983)
Good Will Hunting,"Drama, Romance",(1997)
The African Queen,"Adventure, Drama, Romance",(1951)
Stagecoach,"Adventure, Drama, Western",(1939)
Mutiny on the Bounty,"Adventure, Biography, Drama",(1935)
The Great Dictator,"Comedy, Drama, War",(1940)
Double Indemnity,"Crime, Drama, Film-Noir",(1944)
The Maltese Falcon,"Crime, Film-Noir, Mystery",(1941)
Wuthering Heights,"Drama, Romance",(1939)
Taxi Driver,"Crime, Drama",(1976)
Rear Window,"Mystery, Thriller",(1954)
The Third Man,"Film-Noir, Mystery, Thriller",(1949)
Rebel Without a Cause,Drama,(1955)
North by Northwest,"Action, Adventure, Mystery",(1959)
Yankee Doodle Dandy,"Biography, Drama, Family",(1942)
